epoch,train_loss,val_loss,val_acc,lr,val_precision,val_recall,val_f1
1,1.8735883167188525,0.948121032332404,0.7140532081377152,0.0003,0.02570509919444352,0.01900657998704812,0.020988464851676672
2,1.0014504688801282,0.5743669167436158,0.8165884194053208,0.00029815325108927063,0.026448884048034204,0.02175636571339058,0.023283689966519503
3,0.7387950286312418,0.5509684171662586,0.8277934272300469,0.00029265847744427303,0.02654859501799465,0.02207860663163853,0.023579796947796283
4,0.6146381174299606,0.4445237058764746,0.8651017214397496,0.0002836509786282552,0.02663864236946218,0.023098039951942147,0.024331653252352193
5,0.5319658369923298,0.3909492826909535,0.8755555555555555,0.0002713525491562421,0.02654310432437604,0.023354533686907472,0.024481326625176412
6,0.4691656957577712,0.3457293070165123,0.8948982785602504,0.0002560660171779821,0.026633151675843573,0.023888668241506303,0.024899736241729902
7,0.42541097542904927,0.26481679640255623,0.9204381846635368,0.000238167787843871,0.026659507000362747,0.024563082115156655,0.025386525335748256
8,0.39343474406106377,0.3154162363864697,0.9098591549295775,0.00021809857496093204,0.02667268465982417,0.024294148013648625,0.025199927870906108
9,0.35461068936714873,0.26143789596680744,0.9249452269170579,0.00019635254915624216,0.026656212586430115,0.02468279489462017,0.025457320346379944
10,0.3310423928947487,0.2177300545120982,0.9352738654147105,0.00017346516975603468,0.026659506998497305,0.02496719707813698,0.025651338709351355
11,0.30747558865076835,0.2225644497281882,0.9387793427230047,0.00015000000000000001,0.026675979075622247,0.02505427947861101,0.02568914671650023
12,0.2833446177992537,0.21023795409941337,0.9430359937402191,0.0001265348302439654,0.026662801414295383,0.02517937314004064,0.02576777306616187
13,0.26719886459455083,0.19209442761768852,0.9473552425665102,0.0001036474508437579,0.026656871464739575,0.025292810840783084,0.025846024519079736
14,0.25006901532165493,0.22527043754505727,0.9401564945226917,8.190142503906799e-05,0.026659506998497305,0.025101405307258823,0.02571870774192979
15,0.2380862015814314,0.19471142427089347,0.9486697965571205,6.183221215612905e-05,0.026659506998497305,0.025328186594097166,0.025862493529415873
16,0.22066992665342763,0.17523499322422628,0.9526760563380282,4.393398282201788e-05,0.026655114444721684,0.025436008101190233,0.02593303753858694
17,0.21314860232518576,0.16386309272246832,0.9557433489827856,2.86474508437579e-05,0.026674880937644703,0.02552629077646641,0.025996177537020708
18,0.20163867188016105,0.16111980946410984,0.9569327073552426,1.6349021371744834e-05,0.026659506998497305,0.02554891243507982,0.02600273367718914
19,0.19554182054394725,0.1689687090188684,0.9554929577464789,7.341522555726972e-06,0.02666170327631784,0.02549960601885519,0.025974540589270022
20,0.19112619101083378,0.15439967543493063,0.9590610328638498,1.8467489107293517e-06,0.02667268465982417,0.02560392917382438,0.02604085279831035
